"scenario","year","biomass","species"
"Status quo",2100,0.2728105,"Zooplankton"
"RCP 2.6",2100,0.2543049,"Zooplankton"
"RCP 4.5",2100,0.2994104,"Zooplankton"
"RCP 8.5",2100,0.5277324,"Zooplankton"
"Status quo",2100,0.1109136,"Phytoplankton"
"RCP 2.6",2100,0.1271254,"Phytoplankton"
"RCP 4.5",2100,0.1026771,"Phytoplankton"
"RCP 8.5",2100,0.04411722,"Phytoplankton"
"Status quo",2100,210.4597,"Digenea simplex"
"RCP 2.6",2100,195.4456,"Digenea simplex"
"RCP 4.5",2100,198.7957,"Digenea simplex"
"RCP 8.5",2100,96.27686,"Digenea simplex"
"Status quo",2100,811.5015,"Other algal turf"
"RCP 2.6",2100,789.5002,"Other algal turf"
"RCP 4.5",2100,766.3903,"Other algal turf"
"RCP 8.5",2100,492.6681,"Other algal turf"
"Status quo",2100,0.02625793,"Sea birds"
"RCP 2.6",2100,0.04053129,"Sea birds"
"RCP 4.5",2100,0.02860606,"Sea birds"
"RCP 8.5",2100,6.987623e-08,"Sea birds"
"Status quo",2100,0.08053344,"Turtles"
"RCP 2.6",2100,0.07661667,"Turtles"
"RCP 4.5",2100,0.0373945,"Turtles"
"RCP 8.5",2100,0.0002036924,"Turtles"
"Status quo",2100,0.2527513,"Cephalopoda"
"RCP 2.6",2100,0.3518242,"Cephalopoda"
"RCP 4.5",2100,0.03630457,"Cephalopoda"
"RCP 8.5",2100,1e-20,"Cephalopoda"
"Status quo",2100,2.487489,"Panulirus spp."
"RCP 2.6",2100,2.340492,"Panulirus spp."
"RCP 4.5",2100,0.1461842,"Panulirus spp."
"RCP 8.5",2100,5.834403e-19,"Panulirus spp."
"Status quo",2100,15.02145,"Benthic macroinvertebrates"
"RCP 2.6",2100,14.04939,"Benthic macroinvertebrates"
"RCP 4.5",2100,17.44399,"Benthic macroinvertebrates"
"RCP 8.5",2100,2.752554,"Benthic macroinvertebrates"
"Status quo",2100,22.21051,"Benthic microinvertebrates"
"RCP 2.6",2100,20.49796,"Benthic microinvertebrates"
"RCP 4.5",2100,19.06804,"Benthic microinvertebrates"
"RCP 8.5",2100,9.181154,"Benthic microinvertebrates"
"Status quo",2100,0.7696849,"Siderastrea stellata"
"RCP 2.6",2100,0.5454264,"Siderastrea stellata"
"RCP 4.5",2100,0.2415259,"Siderastrea stellata"
"RCP 8.5",2100,1e-20,"Siderastrea stellata"
"Status quo",2100,0.2802244,"Zooplankton"
"RCP 2.6",2100,0.2926607,"Zooplankton"
"RCP 4.5",2100,0.2961068,"Zooplankton"
"RCP 8.5",2100,0.5099384,"Zooplankton"
"Status quo",2100,0.1214586,"Phytoplankton"
"RCP 2.6",2100,0.1130072,"Phytoplankton"
"RCP 4.5",2100,0.1035515,"Phytoplankton"
"RCP 8.5",2100,0.04731767,"Phytoplankton"
"Status quo",2100,209.2589,"Digenea simplex"
"RCP 2.6",2100,217.2362,"Digenea simplex"
"RCP 4.5",2100,201.7274,"Digenea simplex"
"RCP 8.5",2100,92.64744,"Digenea simplex"
"Status quo",2100,791.205,"Other algal turf"
"RCP 2.6",2100,729.9653,"Other algal turf"
"RCP 4.5",2100,728.0993,"Other algal turf"
"RCP 8.5",2100,504.3148,"Other algal turf"
"Status quo",2100,0.03661131,"Sea birds"
"RCP 2.6",2100,0.03044768,"Sea birds"
"RCP 4.5",2100,0.02899284,"Sea birds"
"RCP 8.5",2100,0.001458567,"Sea birds"
"Status quo",2100,0.09523869,"Turtles"
"RCP 2.6",2100,0.07886358,"Turtles"
"RCP 4.5",2100,0.03544582,"Turtles"
"RCP 8.5",2100,0.0002712674,"Turtles"
"Status quo",2100,0.2301552,"Cephalopoda"
"RCP 2.6",2100,0.3674351,"Cephalopoda"
"RCP 4.5",2100,0.1732681,"Cephalopoda"
"RCP 8.5",2100,7.984448e-09,"Cephalopoda"
"Status quo",2100,3.585503,"Panulirus spp."
"RCP 2.6",2100,2.769157,"Panulirus spp."
"RCP 4.5",2100,0.9141869,"Panulirus spp."
"RCP 8.5",2100,4.742414e-11,"Panulirus spp."
"Status quo",2100,13.07152,"Benthic macroinvertebrates"
"RCP 2.6",2100,14.66668,"Benthic macroinvertebrates"
"RCP 4.5",2100,15.04879,"Benthic macroinvertebrates"
"RCP 8.5",2100,2.651187,"Benthic macroinvertebrates"
"Status quo",2100,22.93842,"Benthic microinvertebrates"
"RCP 2.6",2100,24.93954,"Benthic microinvertebrates"
"RCP 4.5",2100,18.61341,"Benthic microinvertebrates"
"RCP 8.5",2100,12.85236,"Benthic microinvertebrates"
"Status quo",2100,0.7611137,"Siderastrea stellata"
"RCP 2.6",2100,0.7012484,"Siderastrea stellata"
"RCP 4.5",2100,0.2825657,"Siderastrea stellata"
"RCP 8.5",2100,1e-20,"Siderastrea stellata"
"Status quo",2100,0.2184925,"Zooplankton"
"RCP 2.6",2100,0.2634612,"Zooplankton"
"RCP 4.5",2100,0.3164656,"Zooplankton"
"RCP 8.5",2100,0.422358,"Zooplankton"
"Status quo",2100,0.1259063,"Phytoplankton"
"RCP 2.6",2100,0.1148523,"Phytoplankton"
"RCP 4.5",2100,0.09974682,"Phytoplankton"
"RCP 8.5",2100,0.05602277,"Phytoplankton"
"Status quo",2100,198.9512,"Digenea simplex"
"RCP 2.6",2100,209.7681,"Digenea simplex"
"RCP 4.5",2100,189.3005,"Digenea simplex"
"RCP 8.5",2100,94.22021,"Digenea simplex"
"Status quo",2100,760.1763,"Other algal turf"
"RCP 2.6",2100,828.3367,"Other algal turf"
"RCP 4.5",2100,787.3657,"Other algal turf"
"RCP 8.5",2100,502.0078,"Other algal turf"
"Status quo",2100,0.03899914,"Sea birds"
"RCP 2.6",2100,0.02839996,"Sea birds"
"RCP 4.5",2100,0.02991829,"Sea birds"
"RCP 8.5",2100,0.0006035051,"Sea birds"
"Status quo",2100,0.08643699,"Turtles"
"RCP 2.6",2100,0.06176933,"Turtles"
"RCP 4.5",2100,0.04353915,"Turtles"
"RCP 8.5",2100,0.000190443,"Turtles"
"Status quo",2100,0.1274017,"Cephalopoda"
"RCP 2.6",2100,0.1128053,"Cephalopoda"
"RCP 4.5",2100,0.2037968,"Cephalopoda"
"RCP 8.5",2100,0.2794841,"Cephalopoda"
"Status quo",2100,3.718095,"Panulirus spp."
"RCP 2.6",2100,2.112538,"Panulirus spp."
"RCP 4.5",2100,0.005973304,"Panulirus spp."
"RCP 8.5",2100,5.666548e-09,"Panulirus spp."
"Status quo",2100,14.17019,"Benthic macroinvertebrates"
"RCP 2.6",2100,18.47004,"Benthic macroinvertebrates"
"RCP 4.5",2100,16.01746,"Benthic macroinvertebrates"
"RCP 8.5",2100,1.119294,"Benthic macroinvertebrates"
"Status quo",2100,18.526,"Benthic microinvertebrates"
"RCP 2.6",2100,27.19436,"Benthic microinvertebrates"
"RCP 4.5",2100,19.33624,"Benthic microinvertebrates"
"RCP 8.5",2100,8.124486,"Benthic microinvertebrates"
"Status quo",2100,0.6918682,"Siderastrea stellata"
"RCP 2.6",2100,0.6616891,"Siderastrea stellata"
"RCP 4.5",2100,0.3595479,"Siderastrea stellata"
"RCP 8.5",2100,1e-20,"Siderastrea stellata"
"Status quo",2100,0.262229,"Zooplankton"
"RCP 2.6",2100,0.2728287,"Zooplankton"
"RCP 4.5",2100,0.2908942,"Zooplankton"
"RCP 8.5",2100,0.4931633,"Zooplankton"
"Status quo",2100,0.1192675,"Phytoplankton"
"RCP 2.6",2100,0.1187838,"Phytoplankton"
"RCP 4.5",2100,0.09921595,"Phytoplankton"
"RCP 8.5",2100,0.04117583,"Phytoplankton"
"Status quo",2100,195.6456,"Digenea simplex"
"RCP 2.6",2100,218.4689,"Digenea simplex"
"RCP 4.5",2100,191.7278,"Digenea simplex"
"RCP 8.5",2100,96.09841,"Digenea simplex"
"Status quo",2100,838.5433,"Other algal turf"
"RCP 2.6",2100,759.6099,"Other algal turf"
"RCP 4.5",2100,763.9958,"Other algal turf"
"RCP 8.5",2100,505.9056,"Other algal turf"
"Status quo",2100,0.02292588,"Sea birds"
"RCP 2.6",2100,0.0231007,"Sea birds"
"RCP 4.5",2100,0.02259062,"Sea birds"
"RCP 8.5",2100,0.009467467,"Sea birds"
"Status quo",2100,0.07048063,"Turtles"
"RCP 2.6",2100,0.06834529,"Turtles"
"RCP 4.5",2100,0.04373602,"Turtles"
"RCP 8.5",2100,0.0004580476,"Turtles"
"Status quo",2100,0.1306084,"Cephalopoda"
"RCP 2.6",2100,0.2476489,"Cephalopoda"
"RCP 4.5",2100,0.08105367,"Cephalopoda"
"RCP 8.5",2100,1.025137e-12,"Cephalopoda"
"Status quo",2100,4.850094,"Panulirus spp."
"RCP 2.6",2100,3.99528,"Panulirus spp."
"RCP 4.5",2100,0.1107132,"Panulirus spp."
"RCP 8.5",2100,7.091042e-09,"Panulirus spp."
"Status quo",2100,18.33958,"Benthic macroinvertebrates"
"RCP 2.6",2100,15.19497,"Benthic macroinvertebrates"
"RCP 4.5",2100,12.02572,"Benthic macroinvertebrates"
"RCP 8.5",2100,8.224298,"Benthic macroinvertebrates"
"Status quo",2100,29.17655,"Benthic microinvertebrates"
"RCP 2.6",2100,24.81579,"Benthic microinvertebrates"
"RCP 4.5",2100,26.19615,"Benthic microinvertebrates"
"RCP 8.5",2100,8.799334,"Benthic microinvertebrates"
"Status quo",2100,0.6656932,"Siderastrea stellata"
"RCP 2.6",2100,0.6176412,"Siderastrea stellata"
"RCP 4.5",2100,0.2877097,"Siderastrea stellata"
"RCP 8.5",2100,1e-20,"Siderastrea stellata"
"Status quo",2100,0.2415598,"Zooplankton"
"RCP 2.6",2100,0.1953699,"Zooplankton"
"RCP 4.5",2100,0.2617733,"Zooplankton"
"RCP 8.5",2100,0.4571082,"Zooplankton"
"Status quo",2100,0.1128312,"Phytoplankton"
"RCP 2.6",2100,0.1100458,"Phytoplankton"
"RCP 4.5",2100,0.09603582,"Phytoplankton"
"RCP 8.5",2100,0.05018573,"Phytoplankton"
"Status quo",2100,227.6694,"Digenea simplex"
"RCP 2.6",2100,210.7868,"Digenea simplex"
"RCP 4.5",2100,191.6061,"Digenea simplex"
"RCP 8.5",2100,88.2053,"Digenea simplex"
"Status quo",2100,759.5087,"Other algal turf"
"RCP 2.6",2100,805.7402,"Other algal turf"
"RCP 4.5",2100,716.5662,"Other algal turf"
"RCP 8.5",2100,540.0291,"Other algal turf"
"Status quo",2100,0.02559373,"Sea birds"
"RCP 2.6",2100,0.03499566,"Sea birds"
"RCP 4.5",2100,0.03160272,"Sea birds"
"RCP 8.5",2100,0.002991267,"Sea birds"
"Status quo",2100,0.08871717,"Turtles"
"RCP 2.6",2100,0.07235939,"Turtles"
"RCP 4.5",2100,0.04026677,"Turtles"
"RCP 8.5",2100,0.00054435,"Turtles"
"Status quo",2100,0.2581406,"Cephalopoda"
"RCP 2.6",2100,0.1279155,"Cephalopoda"
"RCP 4.5",2100,0.2222372,"Cephalopoda"
"RCP 8.5",2100,0.2397888,"Cephalopoda"
"Status quo",2100,4.017951,"Panulirus spp."
"RCP 2.6",2100,2.547437,"Panulirus spp."
"RCP 4.5",2100,0.3642064,"Panulirus spp."
"RCP 8.5",2100,3.153653e-12,"Panulirus spp."
"Status quo",2100,18.35634,"Benthic macroinvertebrates"
"RCP 2.6",2100,16.00336,"Benthic macroinvertebrates"
"RCP 4.5",2100,14.80238,"Benthic macroinvertebrates"
"RCP 8.5",2100,6.279897,"Benthic macroinvertebrates"
"Status quo",2100,24.36961,"Benthic microinvertebrates"
"RCP 2.6",2100,29.36942,"Benthic microinvertebrates"
"RCP 4.5",2100,17.03202,"Benthic microinvertebrates"
"RCP 8.5",2100,2.797344,"Benthic microinvertebrates"
"Status quo",2100,0.7605736,"Siderastrea stellata"
"RCP 2.6",2100,0.6796544,"Siderastrea stellata"
"RCP 4.5",2100,0.2958064,"Siderastrea stellata"
"RCP 8.5",2100,1e-20,"Siderastrea stellata"
"Status quo",2100,0.2585706,"Zooplankton"
"RCP 2.6",2100,0.2406081,"Zooplankton"
"RCP 4.5",2100,0.3429331,"Zooplankton"
"RCP 8.5",2100,0.583023,"Zooplankton"
"Status quo",2100,0.1200229,"Phytoplankton"
"RCP 2.6",2100,0.1185501,"Phytoplankton"
"RCP 4.5",2100,0.09125495,"Phytoplankton"
"RCP 8.5",2100,0.04299225,"Phytoplankton"
"Status quo",2100,205.1365,"Digenea simplex"
"RCP 2.6",2100,218.7775,"Digenea simplex"
"RCP 4.5",2100,192.9233,"Digenea simplex"
"RCP 8.5",2100,94.23386,"Digenea simplex"
"Status quo",2100,843.0556,"Other algal turf"
"RCP 2.6",2100,858.8652,"Other algal turf"
"RCP 4.5",2100,787.7016,"Other algal turf"
"RCP 8.5",2100,547.2775,"Other algal turf"
"Status quo",2100,0.03931266,"Sea birds"
"RCP 2.6",2100,0.02499144,"Sea birds"
"RCP 4.5",2100,0.03350178,"Sea birds"
"RCP 8.5",2100,0.003716936,"Sea birds"
"Status quo",2100,0.08039419,"Turtles"
"RCP 2.6",2100,0.05845053,"Turtles"
"RCP 4.5",2100,0.04784501,"Turtles"
"RCP 8.5",2100,0.0004188541,"Turtles"
"Status quo",2100,0.2402966,"Cephalopoda"
"RCP 2.6",2100,0.2733217,"Cephalopoda"
"RCP 4.5",2100,0.1485987,"Cephalopoda"
"RCP 8.5",2100,5.90635e-08,"Cephalopoda"
"Status quo",2100,5.320837,"Panulirus spp."
"RCP 2.6",2100,2.813098,"Panulirus spp."
"RCP 4.5",2100,0.9656727,"Panulirus spp."
"RCP 8.5",2100,1.932953e-12,"Panulirus spp."
"Status quo",2100,15.73277,"Benthic macroinvertebrates"
"RCP 2.6",2100,20.36838,"Benthic macroinvertebrates"
"RCP 4.5",2100,12.42048,"Benthic macroinvertebrates"
"RCP 8.5",2100,5.980356,"Benthic macroinvertebrates"
"Status quo",2100,28.20541,"Benthic microinvertebrates"
"RCP 2.6",2100,32.08583,"Benthic microinvertebrates"
"RCP 4.5",2100,18.03639,"Benthic microinvertebrates"
"RCP 8.5",2100,15.30898,"Benthic microinvertebrates"
"Status quo",2100,0.6506795,"Siderastrea stellata"
"RCP 2.6",2100,0.6454991,"Siderastrea stellata"
"RCP 4.5",2100,0.2750188,"Siderastrea stellata"
"RCP 8.5",2100,1e-20,"Siderastrea stellata"
"Status quo",2100,0.2257129,"Zooplankton"
"RCP 2.6",2100,0.2562805,"Zooplankton"
"RCP 4.5",2100,0.3280049,"Zooplankton"
"RCP 8.5",2100,0.4609148,"Zooplankton"
"Status quo",2100,0.114859,"Phytoplankton"
"RCP 2.6",2100,0.1086614,"Phytoplankton"
"RCP 4.5",2100,0.1039526,"Phytoplankton"
"RCP 8.5",2100,0.04648261,"Phytoplankton"
"Status quo",2100,203.4669,"Digenea simplex"
"RCP 2.6",2100,210.6132,"Digenea simplex"
"RCP 4.5",2100,190.7599,"Digenea simplex"
"RCP 8.5",2100,88.96571,"Digenea simplex"
"Status quo",2100,769.7403,"Other algal turf"
"RCP 2.6",2100,788.5057,"Other algal turf"
"RCP 4.5",2100,735.5125,"Other algal turf"
"RCP 8.5",2100,467.4247,"Other algal turf"
"Status quo",2100,0.02251458,"Sea birds"
"RCP 2.6",2100,0.03289279,"Sea birds"
"RCP 4.5",2100,0.02448819,"Sea birds"
"RCP 8.5",2100,0.01111537,"Sea birds"
"Status quo",2100,0.0745895,"Turtles"
"RCP 2.6",2100,0.07689165,"Turtles"
"RCP 4.5",2100,0.03649572,"Turtles"
"RCP 8.5",2100,0.0007210599,"Turtles"
"Status quo",2100,0.1508523,"Cephalopoda"
"RCP 2.6",2100,0.2318258,"Cephalopoda"
"RCP 4.5",2100,0.1097699,"Cephalopoda"
"RCP 8.5",2100,0.3003023,"Cephalopoda"
"Status quo",2100,3.84148,"Panulirus spp."
"RCP 2.6",2100,2.782793,"Panulirus spp."
"RCP 4.5",2100,0.1480972,"Panulirus spp."
"RCP 8.5",2100,1.460548e-11,"Panulirus spp."
"Status quo",2100,16.08479,"Benthic macroinvertebrates"
"RCP 2.6",2100,19.95821,"Benthic macroinvertebrates"
"RCP 4.5",2100,11.12081,"Benthic macroinvertebrates"
"RCP 8.5",2100,7.262392,"Benthic macroinvertebrates"
"Status quo",2100,31.05721,"Benthic microinvertebrates"
"RCP 2.6",2100,26.50389,"Benthic microinvertebrates"
"RCP 4.5",2100,15.55957,"Benthic microinvertebrates"
"RCP 8.5",2100,5.677013,"Benthic microinvertebrates"
"Status quo",2100,0.7464675,"Siderastrea stellata"
"RCP 2.6",2100,0.7450997,"Siderastrea stellata"
"RCP 4.5",2100,0.2485615,"Siderastrea stellata"
"RCP 8.5",2100,1e-20,"Siderastrea stellata"
"Status quo",2100,0.262975,"Zooplankton"
"RCP 2.6",2100,0.2157711,"Zooplankton"
"RCP 4.5",2100,0.3192742,"Zooplankton"
"RCP 8.5",2100,0.4726463,"Zooplankton"
"Status quo",2100,0.1161732,"Phytoplankton"
"RCP 2.6",2100,0.1176328,"Phytoplankton"
"RCP 4.5",2100,0.1051774,"Phytoplankton"
"RCP 8.5",2100,0.04819879,"Phytoplankton"
"Status quo",2100,208.7096,"Digenea simplex"
"RCP 2.6",2100,201.8154,"Digenea simplex"
"RCP 4.5",2100,181.8445,"Digenea simplex"
"RCP 8.5",2100,86.73285,"Digenea simplex"
"Status quo",2100,768.6787,"Other algal turf"
"RCP 2.6",2100,800.0503,"Other algal turf"
"RCP 4.5",2100,766.996,"Other algal turf"
"RCP 8.5",2100,491.444,"Other algal turf"
"Status quo",2100,0.02727831,"Sea birds"
"RCP 2.6",2100,0.02688389,"Sea birds"
"RCP 4.5",2100,0.03993296,"Sea birds"
"RCP 8.5",2100,0.004804186,"Sea birds"
"Status quo",2100,0.07525109,"Turtles"
"RCP 2.6",2100,0.06685273,"Turtles"
"RCP 4.5",2100,0.04774767,"Turtles"
"RCP 8.5",2100,0.0005413579,"Turtles"
"Status quo",2100,0.2117267,"Cephalopoda"
"RCP 2.6",2100,0.2110476,"Cephalopoda"
"RCP 4.5",2100,0.2222019,"Cephalopoda"
"RCP 8.5",2100,6.975105e-17,"Cephalopoda"
"Status quo",2100,5.202049,"Panulirus spp."
"RCP 2.6",2100,2.548074,"Panulirus spp."
"RCP 4.5",2100,0.5773918,"Panulirus spp."
"RCP 8.5",2100,5.545124e-07,"Panulirus spp."
"Status quo",2100,18.82231,"Benthic macroinvertebrates"
"RCP 2.6",2100,15.59492,"Benthic macroinvertebrates"
"RCP 4.5",2100,17.79509,"Benthic macroinvertebrates"
"RCP 8.5",2100,4.061916,"Benthic macroinvertebrates"
"Status quo",2100,22.2829,"Benthic microinvertebrates"
"RCP 2.6",2100,21.08626,"Benthic microinvertebrates"
"RCP 4.5",2100,24.26111,"Benthic microinvertebrates"
"RCP 8.5",2100,10.9102,"Benthic microinvertebrates"
"Status quo",2100,0.6388806,"Siderastrea stellata"
"RCP 2.6",2100,0.6708493,"Siderastrea stellata"
"RCP 4.5",2100,0.3121024,"Siderastrea stellata"
"RCP 8.5",2100,1e-20,"Siderastrea stellata"
"Status quo",2100,0.2152035,"Zooplankton"
"RCP 2.6",2100,0.2398329,"Zooplankton"
"RCP 4.5",2100,0.3101777,"Zooplankton"
"RCP 8.5",2100,0.5203851,"Zooplankton"
"Status quo",2100,0.1300304,"Phytoplankton"
"RCP 2.6",2100,0.1111405,"Phytoplankton"
"RCP 4.5",2100,0.1043364,"Phytoplankton"
"RCP 8.5",2100,0.04311847,"Phytoplankton"
"Status quo",2100,204.4897,"Digenea simplex"
"RCP 2.6",2100,202.3543,"Digenea simplex"
"RCP 4.5",2100,188.9271,"Digenea simplex"
"RCP 8.5",2100,91.70435,"Digenea simplex"
"Status quo",2100,815.7792,"Other algal turf"
"RCP 2.6",2100,736.471,"Other algal turf"
"RCP 4.5",2100,762.0726,"Other algal turf"
"RCP 8.5",2100,487.6169,"Other algal turf"
"Status quo",2100,0.03067475,"Sea birds"
"RCP 2.6",2100,0.01805811,"Sea birds"
"RCP 4.5",2100,0.01648427,"Sea birds"
"RCP 8.5",2100,0.01168973,"Sea birds"
"Status quo",2100,0.09084167,"Turtles"
"RCP 2.6",2100,0.06664564,"Turtles"
"RCP 4.5",2100,0.03728415,"Turtles"
"RCP 8.5",2100,0.001947688,"Turtles"
"Status quo",2100,0.2196646,"Cephalopoda"
"RCP 2.6",2100,0.2983155,"Cephalopoda"
"RCP 4.5",2100,0.1600168,"Cephalopoda"
"RCP 8.5",2100,4.034331e-08,"Cephalopoda"
"Status quo",2100,3.268448,"Panulirus spp."
"RCP 2.6",2100,2.897625,"Panulirus spp."
"RCP 4.5",2100,0.2762016,"Panulirus spp."
"RCP 8.5",2100,1.033913e-11,"Panulirus spp."
"Status quo",2100,16.55595,"Benthic macroinvertebrates"
"RCP 2.6",2100,17.58532,"Benthic macroinvertebrates"
"RCP 4.5",2100,16.22395,"Benthic macroinvertebrates"
"RCP 8.5",2100,14.36802,"Benthic macroinvertebrates"
"Status quo",2100,22.58598,"Benthic microinvertebrates"
"RCP 2.6",2100,26.03984,"Benthic microinvertebrates"
"RCP 4.5",2100,22.11162,"Benthic microinvertebrates"
"RCP 8.5",2100,5.495704,"Benthic microinvertebrates"
"Status quo",2100,0.7214838,"Siderastrea stellata"
"RCP 2.6",2100,0.6116653,"Siderastrea stellata"
"RCP 4.5",2100,0.2723238,"Siderastrea stellata"
"RCP 8.5",2100,1e-20,"Siderastrea stellata"
"Status quo",2100,0.2253449,"Zooplankton"
"RCP 2.6",2100,0.2774908,"Zooplankton"
"RCP 4.5",2100,0.3289361,"Zooplankton"
"RCP 8.5",2100,0.5791914,"Zooplankton"
"Status quo",2100,0.1231326,"Phytoplankton"
"RCP 2.6",2100,0.1179867,"Phytoplankton"
"RCP 4.5",2100,0.1007371,"Phytoplankton"
"RCP 8.5",2100,0.04421037,"Phytoplankton"
"Status quo",2100,208.3711,"Digenea simplex"
"RCP 2.6",2100,197.8816,"Digenea simplex"
"RCP 4.5",2100,173.8951,"Digenea simplex"
"RCP 8.5",2100,91.51983,"Digenea simplex"
"Status quo",2100,793.9604,"Other algal turf"
"RCP 2.6",2100,752.8638,"Other algal turf"
"RCP 4.5",2100,725.4692,"Other algal turf"
"RCP 8.5",2100,523.4226,"Other algal turf"
"Status quo",2100,0.03383274,"Sea birds"
"RCP 2.6",2100,0.02070093,"Sea birds"
"RCP 4.5",2100,0.02608426,"Sea birds"
"RCP 8.5",2100,2.038932e-07,"Sea birds"
"Status quo",2100,0.08329273,"Turtles"
"RCP 2.6",2100,0.07508578,"Turtles"
"RCP 4.5",2100,0.04358353,"Turtles"
"RCP 8.5",2100,8.059407e-05,"Turtles"
"Status quo",2100,0.1680654,"Cephalopoda"
"RCP 2.6",2100,0.1795761,"Cephalopoda"
"RCP 4.5",2100,0.1535387,"Cephalopoda"
"RCP 8.5",2100,1e-20,"Cephalopoda"
"Status quo",2100,5.015128,"Panulirus spp."
"RCP 2.6",2100,1.279271,"Panulirus spp."
"RCP 4.5",2100,0.7598135,"Panulirus spp."
"RCP 8.5",2100,1.732864e-08,"Panulirus spp."
"Status quo",2100,23.5363,"Benthic macroinvertebrates"
"RCP 2.6",2100,19.24081,"Benthic macroinvertebrates"
"RCP 4.5",2100,11.86244,"Benthic macroinvertebrates"
"RCP 8.5",2100,0.3703007,"Benthic macroinvertebrates"
"Status quo",2100,29.03021,"Benthic microinvertebrates"
"RCP 2.6",2100,19.23612,"Benthic microinvertebrates"
"RCP 4.5",2100,19.41019,"Benthic microinvertebrates"
"RCP 8.5",2100,11.78603,"Benthic microinvertebrates"
"Status quo",2100,0.7712927,"Siderastrea stellata"
"RCP 2.6",2100,0.761291,"Siderastrea stellata"
"RCP 4.5",2100,0.3835779,"Siderastrea stellata"
"RCP 8.5",2100,1e-20,"Siderastrea stellata"
